evidence_id,candidate_id,source_body,source_valid_from,field_scope,engine_key,transmission_type,drivetrain,forward_ratios,reverse_ratio,final_drive,power_kw,power_ps,torque_nm,torque_application_note,source_url,evidence_status,runtime_eligibility,blocking_reason
f36_201603_420i_rwd_6mt,420i_b48b20_rwd_6mt,F36 Gran Coupe,2016-03,engine_and_gearing_support,b48b20_135,6mt,RWD,4.002;2.130;1.396;1.000;0.781;0.668,3.647,3.385,135,184,270,F36 sheet does not prove the F32 manual-specific 290 Nm calibration,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348129,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero performance and manual torque calibration unresolved
f36_201603_420i_rwd_8at,420i_b48b20_rwd_8at,F36 Gran Coupe,2016-03,engine_and_gearing_support,b48b20_135,8at,RWD,5.000;3.200;2.143;1.720;1.314;1.000;0.822;0.640,3.456,2.813,135,184,270,F36 03/2016 torque agrees with later F32 automatic value but is not a pre-LCI F32 body sheet,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348129,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero and performance unresolved
f36_201603_420i_xdrive_6mt,420i_b48b20_xdrive_6mt,F36 Gran Coupe,2016-03,engine_and_gearing_support,b48b20_135,6mt,xDrive,4.110;2.315;1.542;1.179;1.000;0.846,3.727,3.385,135,184,270,F36 xDrive application supports the ratio set only,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348130,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero performance and xDrive control data unresolved
f36_201603_420i_xdrive_8at,420i_b48b20_xdrive_8at,F36 Gran Coupe,2016-03,engine_and_gearing_support,b48b20_135,8at,xDrive,5.000;3.200;2.143;1.720;1.314;1.000;0.822;0.640,3.456,2.813,135,184,270,F36 xDrive application supports the ratio set only,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348130,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero performance and xDrive control data unresolved
f36_201603_430i_rwd_6mt,430i_b48b20_rwd_6mt,F36 Gran Coupe,2016-03,engine_and_gearing_support,b48b20_185,6mt,RWD,3.683;2.062;1.313;1.000;0.809;0.677,3.348,3.909,185,252,350,F36 application supports B48 output and manual ratio set,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348129,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero and performance unresolved
f36_201603_430i_rwd_8at,430i_b48b20_rwd_8at,F36 Gran Coupe,2016-03,engine_and_gearing_support,b48b20_185,8at,RWD,5.000;3.200;2.143;1.720;1.314;1.000;0.822;0.640,3.456,2.813,185,252,350,F36 application supports B48 output and automatic ratio set,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348129,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero and performance unresolved
f36_201603_430i_xdrive_8at,430i_b48b20_xdrive_8at,F36 Gran Coupe,2016-03,engine_and_gearing_support,b48b20_185,8at,xDrive,5.000;3.200;2.143;1.720;1.314;1.000;0.822;0.640,3.456,2.813,185,252,350,F36 xDrive application supports B48 output and automatic ratio set,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348130,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero performance and xDrive control data unresolved
f36_201603_425d_rwd_6mt,425d_b47d20_rwd_6mt,F36 Gran Coupe,2016-03,engine_and_gearing_support,b47d20_165,6mt,RWD,4.110;2.248;1.403;1.000;0.802;0.659,3.727,3.462,165,224,450,F36 application proves multi-stage turbo B47 output and manual ratio set,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348131,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero and performance unresolved
f36_201603_425d_rwd_8at,425d_b47d20_rwd_8at,F36 Gran Coupe,2016-03,engine_and_gearing_support,b47d20_165,8at,RWD,5.000;3.200;2.143;1.720;1.314;1.000;0.822;0.640,3.456,2.813,165,224,450,F36 application proves multi-stage turbo B47 output and automatic ratio set,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348131,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero and performance unresolved
f36_201603_440i_rwd_8at,440i_b58b30_rwd_8at,F36 Gran Coupe,2016-03,engine_and_gearing_support,b58b30_240,8at,RWD,5.000;3.200;2.143;1.720;1.314;1.000;0.822;0.640,3.456,2.813,240,326,450,F36 application proves B58 output and automatic ratio set but not the F32 manual row,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348132,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero and performance unresolved
f36_201603_440i_xdrive_8at,440i_b58b30_xdrive_8at,F36 Gran Coupe,2016-03,engine_and_gearing_support,b58b30_240,8at,xDrive,5.000;3.200;2.143;1.720;1.314;1.000;0.822;0.640,3.456,2.813,240,326,450,F36 xDrive application proves B58 output and automatic ratio set,https://www.press.bmwgroup.com/global/article/attachment/T0252273EN/348133,official_same_platform_other_body,support_only,exact pre-LCI F32 body mass aero performance and xDrive control data unresolved
f32_lci_201701_420i_rwd_6mt,420i_b48b20_rwd_6mt,F32 LCI Coupe,2017-01,calibration_conflict_evidence,b48b20_135,6mt,RWD,4.002;2.130;1.396;1.000;0.781;0.668,3.647,3.385,135,184,290,F32 LCI sheet explicitly gives 290 Nm for manual and 270 Nm in brackets for automatic,https://www.press.bmwgroup.com/global/article/attachment/T0266807EN/394469,official_same_body_later_phase,support_only,pre-LCI calibration must be proven and the shared 290 Nm engine row must be split or corrected
f32_lci_201701_420i_rwd_8at,420i_b48b20_rwd_8at,F32 LCI Coupe,2017-01,calibration_conflict_evidence,b48b20_135,8at,RWD,5.000;3.200;2.143;1.720;1.314;1.000;0.822;0.640,3.456,2.813,135,184,270,F32 LCI sheet explicitly gives the bracketed automatic torque value,https://www.press.bmwgroup.com/global/article/attachment/T0266807EN/394469,official_same_body_later_phase,support_only,pre-LCI calibration and body-phase values must be proven
