source_id,source_class,title,edition_date,scope,url,limitations
SKETCHFAB_POLONEZ_MR93,asset_source,1993 FSO Polonez Caro MR'93 (LP new),2023-07-15,"Visual model identity, author, publication metadata and displayed license label",https://sketchfab.com/3d-models/1993-fso-polonez-caro-mr93-lp-new-f67c26c7db354b10b203c7e2f157467d,"The page displays Sketchfab Free Standard rather than a Creative Commons license; do not treat the raw GLB as redistribution-cleared."
SKETCHFAB_LICENSE,license_terms_primary,Sketchfab License Agreement,2026-07-14,"Restrictions on standalone or extractable redistribution of material licensed under Sketchfab standard terms",https://sketchfab.com/licenses,"Terms may change and purchase-specific rights can differ; this inventory is a project risk note rather than legal advice."
WIKIPEDIA_POLONEZ_EN,secondary_encyclopedic,FSO Polonez,2026-07-14,"MR'93 chronology, engine families, five-speed applications, Ford 2.0 engine/gearbox origin and selected final-drive values",https://en.wikipedia.org/wiki/FSO_Polonez,"Secondary compilation. Its year table conflicts with the repository owner's confirmed Ford MR'93 example."
WIKIPEDIA_POLONEZ_ES,secondary_encyclopedic,FSO Polonez,2026-07-14,"Independent generation-boundary cross-check",https://es.wikipedia.org/wiki/FSO_Polonez,"Does not resolve application-specific gearbox ratios."
WIKIPEDIA_PSA_XUD,secondary_technical_family,PSA XUD engine,2026-07-14,"XUD9A architecture and Polonez application",https://en.wikipedia.org/wiki/PSA_XUD_engine,"Engine-family source rather than an FSO application sheet."
WIKIPEDIA_SIERRA_DE,secondary_technical_family,Ford Sierra,2026-07-14,"Ford 1993 cc OHC engine output and Sierra five-speed context",https://de.wikipedia.org/wiki/Ford_Sierra,"Does not identify the exact gearbox suffix installed by FSO."
FORD_TYPE9_CROSSCHECK,cross_application_technical_reconstruction,Ford Type 9 / Sierra-family standard ratio set,2026-07-14,"Type 9 application to Sierra 2.0 and consistent standard ratios 3.65 / 1.97 / 1.37 / 1.00 / 0.82; reverse 3.66",https://en.wikipedia.org/wiki/Ford_Type_9_transmission,"Used as a requested cross-application reconstruction. An original Ford workshop specification tied to the exact FSO gearbox suffix was not recovered."
USER_CONFIRMED_MR93_FORD_20260714,owner_confirmed_vehicle_scope,Repository owner confirmation of Ford 2.0 MR'93 application,2026-07-14,"Confirms a factory Ford 2.0 application in the wide-track body",,"Exact production dates and vehicle records remain pending."
USER_FORUM_GEARING_20260714,user_supplied_forum_research,Polonez FSO 5MT ratios and axle application map,2026-07-14,"Forward ratios 3.753 / 2.132 / 1.378 / 1.000 / 0.860 and final-drive map 3.72 / 3.90 / 4.10 / 4.30",,"Forum URLs were not supplied; suitable for provisional reconstruction."
RECON_FSO_REVERSE_387,reconstruction,FSO five-speed reverse-ratio estimate,2026-07-14,"Reverse ratio 3.87 for provisional gameplay calibration",,"Inference from first gear 3.753 and the documented predecessor reverse 3.87. Not manufacturer-verified."
WIKIPEDIA_125P_ES,secondary_specific,Polski Fiat 125p,2026-07-14,"Predecessor ratios including reverse 3.87",https://es.wikipedia.org/wiki/Polski_Fiat_125p,"Useful as a predecessor baseline only."
WIKIPEDIA_125P_EN,secondary_encyclopedic,Polski Fiat 125p,2026-07-14,"Late 125p adoption of the Polonez powertrain",https://en.wikipedia.org/wiki/Polski_Fiat_125p,"No numerical five-speed ratios."
KFT_POLONEZ_1978,period_instrumented_test_index,KFT fuhr Polonez 1500,1978-09,"Confirms revised second and third ratios relative to 125p",https://de.wikipedia.org/wiki/FSO_Polonez,"Full scan still needed."
KFT_SCAN_INDEX,period_archive_index,KFT scan collection,1959-1989,"Archive lead",https://issuu.com/retrokiosk/stacks/40797a9df1c74d11b866041a83cd2c4c,"Not directly machine-readable in the current environment."
FIA_HISTORIC_DB,manufacturer_homologation_archive,FIA Historic Database,1979,"FSO homologation entries 656 and 657",https://historicdb.fia.com/,"Production and competition ratios must be separated."
MORAWSKI_POLONEZ_1987,service_book_lead,POLONEZ Budowa Eksploatacja Naprawa,1987,"Potential gearbox and axle source",,"Complete copy not obtained."
RECON_MR93,reconstruction,Polonez Caro MR'93 powertrain reconstruction,2026-07-14,"Seven-engine inventory with provisional gearing",,"FSO reverse and Ford Type 9 values are reconstruction-grade; exact gearbox suffixes and Ford final drive remain unresolved."
